Entity,Code,Day,cum_excess_proj_all_ages
Australia,AUS,2020-05-10,-1056
Australia,AUS,2020-05-17,-1296.9
Australia,AUS,2020-05-24,-1492.3
Australia,AUS,2020-05-31,-1725.6
Australia,AUS,2020-06-07,-2077.7
Australia,AUS,2020-06-14,-2385.4
Australia,AUS,2020-06-21,-2791.1
Australia,AUS,2020-06-28,-3245
Australia,AUS,2020-07-05,-3674.7
Australia,AUS,2020-07-12,-4064.3
Australia,AUS,2020-07-19,-4550.1
Australia,AUS,2020-07-26,-4923.7
Australia,AUS,2020-08-02,-5206
Australia,AUS,2020-08-09,-5506.6
Australia,AUS,2020-08-16,-5726.7
Australia,AUS,2020-08-23,-6162.6
Australia,AUS,2020-08-30,-6626.7
Australia,AUS,2020-09-06,-6996.1
Australia,AUS,2020-09-13,-7376.9
Australia,AUS,2020-09-20,-7817.2
Australia,AUS,2020-09-27,-8044.6
Australia,AUS,2020-10-04,-8283
Australia,AUS,2020-10-11,-8586.8
Australia,AUS,2020-10-18,-8874.6
Australia,AUS,2020-10-25,-9148.6
Australia,AUS,2020-11-01,-9345
Australia,AUS,2020-11-08,-9477.4
Australia,AUS,2020-11-15,-9478.6
Australia,AUS,2020-11-22,-9644.2
Australia,AUS,2020-11-29,-9841.2
Australia,AUS,2020-12-06,-9835.5
Australia,AUS,2020-12-13,-9982.5
Australia,AUS,2020-12-20,-10059.7
Australia,AUS,2020-12-27,-10054.2
Australia,AUS,2021-01-03,-10138.3
Australia,AUS,2021-01-10,-10266.3
Australia,AUS,2021-01-17,-10467.6
Australia,AUS,2021-01-24,-10462.3
Australia,AUS,2021-01-31,-10602.6
Australia,AUS,2021-02-07,-10598
Australia,AUS,2021-02-14,-10730.9
Australia,AUS,2021-02-21,-10895.2
Australia,AUS,2021-02-28,-10955.1
Australia,AUS,2021-03-07,-11035
Australia,AUS,2021-03-14,-11072.3
Australia,AUS,2021-03-21,-11082.5
Australia,AUS,2021-03-28,-11165.4
Australia,AUS,2021-04-04,-11226.3
Australia,AUS,2021-04-11,-11414.8
Australia,AUS,2021-04-18,-11352.8
Australia,AUS,2021-04-25,-11335.5
Australia,AUS,2021-05-02,-11286.5
Australia,AUS,2021-05-09,-11133
Australia,AUS,2021-05-16,-11155.1
Australia,AUS,2021-05-23,-11176.2
Australia,AUS,2021-05-30,-11124.9
Australia,AUS,2021-06-06,-11257.1
Australia,AUS,2021-06-13,-11232.6
Australia,AUS,2021-06-20,-11258.9
Australia,AUS,2021-06-27,-11380.9
Australia,AUS,2021-07-04,-11505.2
Australia,AUS,2021-07-11,-11636.7
Australia,AUS,2021-07-18,-11711.2
Australia,AUS,2021-07-25,-11794.7
Australia,AUS,2021-08-01,-11873.4
Australia,AUS,2021-08-08,-12092.7
Australia,AUS,2021-08-15,-12363.9
Australia,AUS,2021-08-22,-12631.9
Australia,AUS,2021-08-29,-12976.8
Australia,AUS,2021-09-05,-13273.7
Australia,AUS,2021-09-12,-13624.8
Australia,AUS,2021-09-19,-13798.1
Australia,AUS,2021-09-26,-14044.4
Australia,AUS,2021-10-03,-14045.3
Australia,AUS,2021-10-10,-14168
Australia,AUS,2021-10-17,-14276.6
Australia,AUS,2021-10-24,-14286.3
Australia,AUS,2021-10-31,-14350.6
Australia,AUS,2021-11-07,-14376.4
Australia,AUS,2021-11-14,-14580.2
Australia,AUS,2021-11-21,-14625.9
Australia,AUS,2021-11-28,-14722.9
Austria,AUT,2020-01-05,-214.2
Austria,AUT,2020-01-12,-388.4
Austria,AUT,2020-01-19,-397
Austria,AUT,2020-01-26,-384.2
Austria,AUT,2020-02-02,-275
Austria,AUT,2020-02-09,-449
Austria,AUT,2020-02-16,-560
Austria,AUT,2020-02-23,-682.2
Austria,AUT,2020-03-01,-749
Austria,AUT,2020-03-08,-777.8
Austria,AUT,2020-03-15,-790.4
Austria,AUT,2020-03-22,-571.6
Austria,AUT,2020-03-29,-471.6
Austria,AUT,2020-04-05,-248.2
Austria,AUT,2020-04-12,-20.6
Austria,AUT,2020-04-19,140.8
Austria,AUT,2020-04-26,239.4
Austria,AUT,2020-05-03,235.6
Austria,AUT,2020-05-10,297
Austria,AUT,2020-05-17,303.8
Austria,AUT,2020-05-24,344
Austria,AUT,2020-05-31,328.4
Austria,AUT,2020-06-07,386.8
Austria,AUT,2020-06-14,385.2
Austria,AUT,2020-06-21,371.4
Austria,AUT,2020-06-28,390.4
Austria,AUT,2020-07-05,497
Austria,AUT,2020-07-12,483.4
Austria,AUT,2020-07-19,437.4
Austria,AUT,2020-07-26,381.4
Austria,AUT,2020-08-02,384.4
Austria,AUT,2020-08-09,372
Austria,AUT,2020-08-16,499.2
Austria,AUT,2020-08-23,523.2
Austria,AUT,2020-08-30,577.2
Austria,AUT,2020-09-06,703.8
Austria,AUT,2020-09-13,827.8
Austria,AUT,2020-09-20,954.6
Austria,AUT,2020-09-27,995.8
Austria,AUT,2020-10-04,1053.2
Austria,AUT,2020-10-11,1139
Austria,AUT,2020-10-18,1233.6
Austria,AUT,2020-10-25,1485.4
Austria,AUT,2020-11-01,1849.2
Austria,AUT,2020-11-08,2326.6
Austria,AUT,2020-11-15,3042
Austria,AUT,2020-11-22,3898.8
Austria,AUT,2020-11-29,4775.4
Austria,AUT,2020-12-06,5703.2
Austria,AUT,2020-12-13,6556.2
Austria,AUT,2020-12-20,7147.4
Austria,AUT,2020-12-27,7524
Austria,AUT,2021-01-03,7773.6
Austria,AUT,2021-01-10,7901
Austria,AUT,2021-01-17,7977.4
Austria,AUT,2021-01-24,8174.4
Austria,AUT,2021-01-31,8351.8
Austria,AUT,2021-02-07,8375.6
Austria,AUT,2021-02-14,8272.2
Austria,AUT,2021-02-21,8155.8
Austria,AUT,2021-02-28,7977.2
Austria,AUT,2021-03-07,7726
Austria,AUT,2021-03-14,7698.8
Austria,AUT,2021-03-21,7655.8
Austria,AUT,2021-03-28,7692.2
Austria,AUT,2021-04-04,7798.8
Austria,AUT,2021-04-11,7852.8
Austria,AUT,2021-04-18,7979
Austria,AUT,2021-04-25,8122
Austria,AUT,2021-05-02,8326.2
Austria,AUT,2021-05-09,8496
Austria,AUT,2021-05-16,8638
Austria,AUT,2021-05-23,8673.4
Austria,AUT,2021-05-30,8718.2
Austria,AUT,2021-06-06,8887.2
Austria,AUT,2021-06-13,9014.2
Austria,AUT,2021-06-20,9150.2
Austria,AUT,2021-06-27,9372
Austria,AUT,2021-07-04,9457.6
Austria,AUT,2021-07-11,9467.8
Austria,AUT,2021-07-18,9524.8
Austria,AUT,2021-07-25,9613.4
Austria,AUT,2021-08-01,9634
Austria,AUT,2021-08-08,9564.6
Austria,AUT,2021-08-15,9742.8
Austria,AUT,2021-08-22,9880.6
Austria,AUT,2021-08-29,9997.2
Austria,AUT,2021-09-05,10099.8
Austria,AUT,2021-09-12,10329
Austria,AUT,2021-09-19,10462.6
Austria,AUT,2021-09-26,10595
Austria,AUT,2021-10-03,10773.8
Austria,AUT,2021-10-10,10844.8
Austria,AUT,2021-10-17,10936.2
Austria,AUT,2021-10-24,11132.4
Austria,AUT,2021-10-31,11493.8
Austria,AUT,2021-11-07,11901.2
Austria,AUT,2021-11-14,12429.2
Austria,AUT,2021-11-21,12971.2
Austria,AUT,2021-11-28,13565.6
Austria,AUT,2021-12-05,14202.8
Austria,AUT,2021-12-12,14707.2
Austria,AUT,2021-12-19,15012.8
Austria,AUT,2021-12-26,15187.6
Austria,AUT,2022-01-02,15290.8
Austria,AUT,2022-01-09,15200.8
Austria,AUT,2022-01-16,14983.8
Austria,AUT,2022-01-23,14976.4
Austria,AUT,2022-01-30,14950.4
Austria,AUT,2022-02-06,14882.8
Austria,AUT,2022-02-13,14863
Azerbaijan,AZE,2020-01-31,-152
Azerbaijan,AZE,2020-02-29,-108.2
